date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:21	50299/50299	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2004:50:21%20GMT	https://www.hxxxp.com/	C:/copy_site3/islands_1/www.hxxxp.com/index.html	(from )
13:50:21	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2004%20Feb%202021%2004:50:21%20GMT	https://www.hxxxp.com/robots.txt		(from )
13:50:21	51433/51433	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Dec%202020%2008:59:01%20GMT	https://www.hxxxp.com/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/copy_site3/islands_1/www.hxxxp.com/wp-includes/css/dist/block-library/style.min40df.css	(from https://www.hxxxp.com/)
13:50:21	1920/1920	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Dec%202020%2019:58:28%20GMT	https://www.hxxxp.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://www.hxxxp.com/)
13:50:21	224/224	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Sep%202020%2008:47:01%20GMT	https://www.hxxxp.com/wp-content/plugins/contact-form-7-add-confirm/includes/css/styles.css?ver=5.1	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/plugins/contact-form-7-add-confirm/includes/css/stylesc721.css	(from https://www.hxxxp.com/)
13:50:21	89496/89496	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Dec%202020%2008:59:00%20GMT	https://www.hxxxp.com/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/copy_site3/islands_1/www.hxxxp.com/wp-includes/js/jquery/jquery.min9d52.js	(from https://www.hxxxp.com/)
13:50:22	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Dec%202020%2008:59:00%20GMT	https://www.hxxxp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/copy_site3/islands_1/www.hxxxp.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://www.hxxxp.com/)
13:50:22	792/792	---M-Z	200	added ('OK')	text/xml	date:Thu,%2004%20Feb%202021%2004:50:23%20GMT	https://www.hxxxp.com/xmlrpc.php?rsd	C:/copy_site3/islands_1/www.hxxxp.com/xmlrpc0db0.php	(from https://www.hxxxp.com/)
13:50:22	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Mon,%2007%20Sep%202020%2017:21:04%20GMT	https://www.hxxxp.com/wp-includes/wlwmanifest.xml	C:/copy_site3/islands_1/www.hxxxp.com/wp-includes/wlwmanifest.xml	(from https://www.hxxxp.com/)
13:50:23	160329/160329	---M-Z	200	added ('OK')	application/json	date:Thu,%2004%20Feb%202021%2004:50:23%20GMT	https://www.hxxxp.com/wp-json/	C:/copy_site3/islands_1/www.hxxxp.com/wp-json/index.html	(from https://www.hxxxp.com/)
13:50:23	17542/17542	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2027%20Oct%202020%2005:42:23%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/img/common/icon/favicon.ico	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/img/common/icon/favicon.ico	(from https://www.hxxxp.com/)
13:50:23	4561/4561	---M-Z	200	added ('OK')	image/png	date:Tue,%2027%20Oct%202020%2005:42:24%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/img/common/icon/webclip.png	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/img/common/icon/webclip.png	(from https://www.hxxxp.com/)
13:50:23	9097/9097	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Oct%202020%2005:41:36%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/normalize.css	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/normalize.css	(from https://www.hxxxp.com/)
13:50:23	2425/2425	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2005%20Jan%202021%2001:33:38%20GMT	https://www.hxxxp.com/feed/	C:/copy_site3/islands_1/www.hxxxp.com/feed/index.html	(from https://www.hxxxp.com/)
13:50:23	133838/133838	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Nov%202020%2000:42:58%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/common.css?ver=1.2.3	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/common9632.css	(from https://www.hxxxp.com/)
13:50:23	39481/39481	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2012:57:22%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/adjust.css?ver=1.0.9	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/adjustcb18.css	(from https://www.hxxxp.com/)
13:50:24	4195/4195	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Oct%202020%2005:41:35%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/loading.css	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/css/loading.css	(from https://www.hxxxp.com/)
13:50:24	7033/7033	---M-Z	200	added ('OK')	text/javascript	etag:%22316388407%22	http://fast.fonts.net/jsapi/738fa035-2ed6-4967-a449-7f1959864dce.js	C:/copy_site3/islands_1/fast.fonts.net/jsapi/738fa035-2ed6-4967-a449-7f1959864dce.js	(from https://www.hxxxp.com/)
13:50:25	1597/1597	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Feb%202021%2004:50:26%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.js	C:/copy_site3/islands_1/ajax.googleapis.com/ajax/libs/jquery/3.6.1/jquery.min.f.delayed	(from https://www.hxxxp.com/)
13:50:25	50397/50397	---MCZ	200	added ('OK')	text/css	etag:W/%22beb60a9475685e87a9738a7306591e69%22	https://use.fontawesome.com/releases/v5.4.1/css/all.css	C:/copy_site3/islands_1/use.fontawesome.com/releases/v5.4.1/css/all.css	(from https://www.hxxxp.com/)
13:50:25	7519/7519	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2027%20Oct%202020%2005:42:01%20GMT	https://www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/img/common/title.svg	C:/copy_site3/islands_1/www.hxxxp.com/wp-content/themes/HodgePodge_2020-1027/assets/img/common/title.svg	(from https://www.hxxxp.com/)
13:50:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Feb%202021%2004:50:26%20GMT	https://www.hxxxp.com/about	C:/copy_site3/islands_1/www.hxxxp.com/about	(from https://www.hxxxp.com/)
13:50:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Feb%202021%2004:50:27%20GMT	https://www.hxxxp.com/blog	C:/copy_site3/islands_1/www.hxxxp.com/blog	(from https://www.hxxxp.com/)
13:50:26	35687/35687	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2004:50:27%20GMT	https://www.hxxxp.com/about/	C:/copy_site3/islands_1/www.hxxxp.com/about/index.html	(from https://www.hxxxp.com/)
13:50:27	47730/47730	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2004:50:27%20GMT	https://www.hxxxp.com/blog/	C:/copy_site3/islands_1/www.hxxxp.com/blog/index.html	(from https://www.hxxxp.com/)
13:50:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Feb%202021%2004:50:27%20GMT	https://www.hxxxp.com/service	C:/copy_site3/islands_1/www.hxxxp.com/service.13.delayed	(from https://www.hxxxp.com/)
13:50:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Feb%202021%2004:50:28%20GMT	https://www.hxxxp.com/service/shop	C:/copy_site3/islands_1/www.hxxxp.com/service/shop	(from https://www.hxxxp.com/)
13:50:27	33869/33869	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2004:50:28%20GMT	https://www.hxxxp.com/service/	C:/copy_site3/islands_1/www.hxxxp.com/service/index.html	(from https://www.hxxxp.com/)
13:50:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Feb%202021%2004:50:28%20GMT	https://www.hxxxp.com/service/stay	C:/copy_site3/islands_1/www.hxxxp.com/service/stay	(from https://www.hxxxp.com/)
13:50:28	44957/44957	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Feb%202021%2004:50:28%20GMT	https://www.hxxxp.com/service/shop/	C:/copy_site3/islands_1/www.hxxxp.com/service/shop/index.html	(from https://www.hxxxp.com/)
13:50:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Feb%202021%2004:50:29%20GMT	https://www.hxxxp.com/service/rental	C:/copy_site3/islands_1/www.hxxxp.com/service/rental	(from https://www.hxxxp.com/)
